,web-scraper-order,web-scraper-start-url,nama,caption,ulasan,ulasan_preprocessed,label,sentiment,score,ulasan_tokens,ulasan_tokens_fdist,ulasan_tokens_WSW,ulasan_tokens_stemmed
83,1680415691-84,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,loe2gw,DIENG ... I LOVE YOU,mempesona indah dan  love you dieng tempat yg dingin udara yang sejuk dan bersih liburan kali ini kami sekeluarga besar wisata ke dieng walaupun hanya tempat yang kami kunjungi yaitu sikunir dan candi arjuna tapi kami sangan puas dan senang mungkin kalau kami tidak bawa anak kecil kami ingin menikmati sunrisenya yang indah di sikunir dan walaupun saat itu kabut di seliling puncak sikunir yg menutupi negri di atas awan tidak bisa kami liat tidak membuat kami kecewa dari sikunir kami langsung ke candi arjuna candinya tidak banyak tidak seperti di prambanan tetapi pemandangan di sekelilingnya wow sepertinya tahun depan kami ingin ke sini lagi ingin ke telaga warna dan kawahnya oh iya untuk membawa orang tua dan anak kecil kami sarankan untuk membawa baju hangat yg tebal kerena udaranya sangat dingin,"mempesona , indah , i love you dieng ... yg dingin .. udara sejuk bersih ... liburan kali sekeluarga wisata dieng ... 2 kunjungi sikunir candi arjuna sangan pua senang .... bawa anak menikmati sunrisenya indah sikunir , , , kabut selil puncak sikunir yg menutupi negri awan liat kecewa ... sikunir langsung candi arjuna .. candinya prambanan .. pemandangan sekelilingnya wow .... telaga warna kawahnya .... oh iya membawa orang tua anak sarankan membawa baju hangat yg tebal kerena udaranya dingin .....",positive,"[{'label': 'positive', 'score': 0.9872792959213257}]",0.9872792959213256,"['mempesona', 'indah', 'dan', 'love', 'you', 'dieng', 'tempat', 'yg', 'dingin', 'udara', 'yang', 'sejuk', 'dan', 'bersih', 'liburan', 'kali', 'ini', 'kami', 'sekeluarga', 'besar', 'wisata', 'ke', 'dieng', 'walaupun', 'hanya', 'tempat', 'yang', 'kami', 'kunjungi', 'yaitu', 'sikunir', 'dan', 'candi', 'arjuna', 'tapi', 'kami', 'sangan', 'puas', 'dan', 'senang', 'mungkin', 'kalau', 'kami', 'tidak', 'bawa', 'anak', 'kecil', 'kami', 'ingin', 'menikmati', 'sunrisenya', 'yang', 'indah', 'di', 'sikunir', 'dan', 'walaupun', 'saat', 'itu', 'kabut', 'di', 'seliling', 'puncak', 'sikunir', 'yg', 'menutupi', 'negri', 'di', 'atas', 'awan', 'tidak', 'bisa', 'kami', 'liat', 'tidak', 'membuat', 'kami', 'kecewa', 'dari', 'sikunir', 'kami', 'langsung', 'ke', 'candi', 'arjuna', 'candinya', 'tidak', 'banyak', 'tidak', 'seperti', 'di', 'prambanan', 'tetapi', 'pemandangan', 'di', 'sekelilingnya', 'wow', 'sepertinya', 'tahun', 'depan', 'kami', 'ingin', 'ke', 'sini', 'lagi', 'ingin', 'ke', 'telaga', 'warna', 'dan', 'kawahnya', 'oh', 'iya', 'untuk', 'membawa', 'orang', 'tua', 'dan', 'anak', 'kecil', 'kami', 'sarankan', 'untuk', 'membawa', 'baju', 'hangat', 'yg', 'tebal', 'kerena', 'udaranya', 'sangat', 'dingin']",<FreqDist with 86 samples and 132 outcomes>,"['mempesona', 'indah', 'love', 'you', 'dieng', 'dingin', 'udara', 'sejuk', 'bersih', 'liburan', 'kali', 'sekeluarga', 'wisata', 'dieng', 'kunjungi', 'sikunir', 'candi', 'arjuna', 'sangan', 'puas', 'senang', 'bawa', 'anak', 'menikmati', 'sunrisenya', 'indah', 'sikunir', 'kabut', 'seliling', 'puncak', 'sikunir', 'menutupi', 'negri', 'awan', 'liat', 'kecewa', 'sikunir', 'langsung', 'candi', 'arjuna', 'candinya', 'prambanan', 'pemandangan', 'sekelilingnya', 'wow', 'telaga', 'warna', 'kawahnya', 'oh', 'iya', 'membawa', 'orang', 'tua', 'anak', 'sarankan', 'membawa', 'baju', 'hangat', 'tebal', 'kerena', 'udaranya', 'dingin']","['pesona', 'indah', 'love', 'you', 'dieng', 'dingin', 'udara', 'sejuk', 'bersih', 'libur', 'kali', 'keluarga', 'wisata', 'dieng', 'kunjung', 'sikunir', 'candi', 'arjuna', 'sangan', 'puas', 'senang', 'bawa', 'anak', 'nikmat', 'sunrisenya', 'indah', 'sikunir', 'kabut', 'seliling', 'puncak', 'sikunir', 'tutup', 'negri', 'awan', 'liat', 'kecewa', 'sikunir', 'langsung', 'candi', 'arjuna', 'candi', 'prambanan', 'pandang', 'keliling', 'wow', 'telaga', 'warna', 'kawah', 'oh', 'iya', 'bawa', 'orang', 'tua', 'anak', 'saran', 'bawa', 'baju', 'hangat', 'tebal', 'rena', 'udara', 'dingin']"
84,1680415691-85,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,2803danyw,Candi arjuna yg mempesona..,candi ini tidak begitu luas lokasinya dekat dg banyak penginapan homestaydekat dg banyak tempat makan jugamenurut sy candi ini termasuk unik karna banyak bgt bunga kecubung yg tumbuh di lokasi candi ini jadi kalo kita kesana malam hari harum bunga kecubung yg khas membuat suasana candi menjadi sedikit mistis menurut sayacandi ini mirip candi prambanan versi mini nyabila memutari seluruh kawasan candi arjuna tidak memakan waktu begitu lama disini memiliki tempat parkir yg luas memadaibis pariwisatamobilmotor bisa menjangkau tempat inigak lengkap rasanya ke dieng tanpa mampir ke candi ini,"candi lua , lokasinya dg penginapan ( homestay ) .. dg makan .. sy candi unik .. karna bgt bunga kecubung yg tumbuh lokasi candi .. kalo kesana malam harum bunga kecubung yg kha suasana candi misti .. candi candi prambanan versi mini nya .. memutari kawasan candi arjuna memakan lama. & memiliki parkir yg lua & memadai .. bi pariwisata , mobil/motor menjangkau .. gak lengkap dieng mampir candi",negative,"[{'label': 'negative', 'score': 0.843285858631134}]",0.843285858631134,"['candi', 'ini', 'tidak', 'begitu', 'luas', 'lokasinya', 'dekat', 'dg', 'banyak', 'penginapan', 'homestaydekat', 'dg', 'banyak', 'tempat', 'makan', 'jugamenurut', 'sy', 'candi', 'ini', 'termasuk', 'unik', 'karna', 'banyak', 'bgt', 'bunga', 'kecubung', 'yg', 'tumbuh', 'di', 'lokasi', 'candi', 'ini', 'jadi', 'kalo', 'kita', 'kesana', 'malam', 'hari', 'harum', 'bunga', 'kecubung', 'yg', 'khas', 'membuat', 'suasana', 'candi', 'menjadi', 'sedikit', 'mistis', 'menurut', 'sayacandi', 'ini', 'mirip', 'candi', 'prambanan', 'versi', 'mini', 'nyabila', 'memutari', 'seluruh', 'kawasan', 'candi', 'arjuna', 'tidak', 'memakan', 'waktu', 'begitu', 'lama', 'disini', 'memiliki', 'tempat', 'parkir', 'yg', 'luas', 'memadaibis', 'pariwisatamobilmotor', 'bisa', 'menjangkau', 'tempat', 'inigak', 'lengkap', 'rasanya', 'ke', 'dieng', 'tanpa', 'mampir', 'ke', 'candi', 'ini']",<FreqDist with 66 samples and 89 outcomes>,"['candi', 'luas', 'lokasinya', 'penginapan', 'homestaydekat', 'makan', 'jugamenurut', 'sy', 'candi', 'unik', 'karna', 'bgt', 'bunga', 'kecubung', 'tumbuh', 'lokasi', 'candi', 'kesana', 'malam', 'harum', 'bunga', 'kecubung', 'khas', 'suasana', 'candi', 'mistis', 'sayacandi', 'candi', 'prambanan', 'versi', 'mini', 'nyabila', 'memutari', 'kawasan', 'candi', 'arjuna', 'memakan', 'memiliki', 'parkir', 'luas', 'memadaibis', 'pariwisatamobilmotor', 'menjangkau', 'inigak', 'lengkap', 'dieng', 'mampir', 'candi']","['candi', 'luas', 'lokasi', 'inap', 'homestaydekat', 'makan', 'jugamenurut', 'sy', 'candi', 'unik', 'karna', 'bgt', 'bunga', 'kecubung', 'tumbuh', 'lokasi', 'candi', 'kesana', 'malam', 'harum', 'bunga', 'kecubung', 'khas', 'suasana', 'candi', 'mistis', 'sayacandi', 'candi', 'prambanan', 'versi', 'mini', 'nyabila', 'putar', 'kawasan', 'candi', 'arjuna', 'makan', 'milik', 'parkir', 'luas', 'memadaibis', 'pariwisatamobilmotor', 'jangkau', 'inigak', 'lengkap', 'dieng', 'mampir', 'candi']"
85,1680415691-86,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,irnasoemardi,Mengejar sunrise,kami tinggal di homestay makan mie ongklok carica udara malam sangat dingin sekali warga sekitar sangat ramah sebelum fajar kami sudah naik ke atas untuk melihat sunrise menanjak lumayan cape tapi hal itu terbayar dengan indahnya pagi yang cerah,"tinggal homestay , makan mie ongklok , carica .. udara malam dingin .. warga ramah .. fajar sunris .. menanjak lumayan cape , terbayar indahnya pagi cerah ..",negative,"[{'label': 'negative', 'score': 0.9413650035858154}]",0.9413650035858154,"['kami', 'tinggal', 'di', 'homestay', 'makan', 'mie', 'ongklok', 'carica', 'udara', 'malam', 'sangat', 'dingin', 'sekali', 'warga', 'sekitar', 'sangat', 'ramah', 'sebelum', 'fajar', 'kami', 'sudah', 'naik', 'ke', 'atas', 'untuk', 'melihat', 'sunrise', 'menanjak', 'lumayan', 'cape', 'tapi', 'hal', 'itu', 'terbayar', 'dengan', 'indahnya', 'pagi', 'yang', 'cerah']",<FreqDist with 37 samples and 39 outcomes>,"['tinggal', 'homestay', 'makan', 'mie', 'ongklok', 'carica', 'udara', 'malam', 'dingin', 'warga', 'ramah', 'fajar', 'sunrise', 'menanjak', 'lumayan', 'cape', 'terbayar', 'indahnya', 'pagi', 'cerah']","['tinggal', 'homestay', 'makan', 'mie', 'ongklok', 'carica', 'udara', 'malam', 'dingin', 'warga', 'ramah', 'fajar', 'sunrise', 'tanjak', 'lumayan', 'cape', 'bayar', 'indah', 'pagi', 'cerah']"
86,1680415691-87,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,r3ni,Negeri Di Awan,brrrrudara dingin langsung terasa ketika menginjakkan kaki di dataran tinggi dieng yang cantik ini dimulai dari wisata sejarah mengelilingi komplek candiperjalanan dilanjutkan ke telaga warna dan ke kawah sikidang sangat recommended untuk menikmati pemandangan alam yang cantik dan udara segar,"brrrr .... udara dingin langsung menginjakkan kaki dataran dieng cantik . wisata sejarah mengelilingi komplek candi , perjalanan dilanjutkan telaga warna kawah sikidang . recommend menikmati pemandangan alam cantik udara segar .",positive,"[{'label': 'positive', 'score': 0.8971894383430481}]",0.8971894383430481,"['brrrrudara', 'dingin', 'langsung', 'terasa', 'ketika', 'menginjakkan', 'kaki', 'di', 'dataran tinggi', 'dieng', 'yang', 'cantik', 'ini', 'dimulai', 'dari', 'wisata', 'sejarah', 'mengelilingi', 'komplek', 'candiperjalanan', 'dilanjutkan', 'ke', 'telaga', 'warna', 'dan', 'ke', 'kawah', 'sikidang', 'sangat', 'recommended', 'untuk', 'menikmati', 'pemandangan', 'alam', 'yang', 'cantik', 'dan', 'udara', 'segar']",<FreqDist with 35 samples and 39 outcomes>,"['brrrrudara', 'dingin', 'langsung', 'menginjakkan', 'kaki', 'dataran tinggi', 'dieng', 'cantik', 'wisata', 'sejarah', 'mengelilingi', 'komplek', 'candiperjalanan', 'dilanjutkan', 'telaga', 'warna', 'kawah', 'sikidang', 'recommended', 'menikmati', 'pemandangan', 'alam', 'cantik', 'udara', 'segar']","['brrrrudara', 'dingin', 'langsung', 'injak', 'kaki', 'datar tinggi', 'dieng', 'cantik', 'wisata', 'sejarah', 'keliling', 'komplek', 'candiperjalanan', 'lanjut', 'telaga', 'warna', 'kawah', 'sikidang', 'recommended', 'nikmat', 'pandang', 'alam', 'cantik', 'udara', 'segar']"
87,1680415691-88,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,NurulAnnisaM,Dieng,negeri di atas awan udaranya dingin sekali tapi pemandangannya worth it banget recommended banget sih semoga bisa ke sini lagi karena tempatnya ngangenin,negeri awan . udaranya dingin pemandangannya worth it banget . recommend banget sih . semoga tempatnya ngangenin,negative,"[{'label': 'negative', 'score': 0.6452991962432861}]",0.6452991962432861,"['negeri', 'di', 'atas', 'awan', 'udaranya', 'dingin', 'sekali', 'tapi', 'pemandangannya', 'worth', 'it', 'banget', 'recommended', 'banget', 'sih', 'semoga', 'bisa', 'ke', 'sini', 'lagi', 'karena', 'tempatnya', 'ngangenin']",<FreqDist with 22 samples and 23 outcomes>,"['negeri', 'awan', 'udaranya', 'dingin', 'pemandangannya', 'worth', 'it', 'banget', 'recommended', 'banget', 'semoga', 'tempatnya', 'ngangenin']","['negeri', 'awan', 'udara', 'dingin', 'pandang', 'worth', 'it', 'banget', 'recommended', 'banget', 'moga', 'tempat', 'ngangenin']"
88,1680415691-89,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,MariaA16140,Udara yg sejuk,terbiasa dengan polusi udara di ibukota sekali bisa mencoba ke dataran tinggi dieng udaranya sangat sejuk dan dingiinn cocok sekali bagi anda yg ingin berlibur di daerah pedesaan dengan udara segar banyak destinasi wisata yg bisa anda kunjugi disini seperti dieng plateu theater kawah sikidang telaga warna batu ratapan angin puncak sikunir sunrise di puncak sikunir the best golden sunrise yg dsajikan cukup memanjakan mata anda akan ciptaan tuhan banyak penginapan di dieng jadi anda tag perlu khawatir hanya untuk tips saja sebaiknya anda membawa baju hangat disini karena suhu udara yg extream super dingin,"terbiasa polusi udara ibukota , sekali2 mencoba dataran dieng .. udaranya sejuk dingiinn .. cocok yg berlibur daerah pedesaan udara segar .. destinasi wisata yg kunjugi , dieng plateu theater , kawah sikidang , telaga warna , batu ratapan angin , puncak sikunir .. sunris puncak sikunir the best , golden sunris yg dsajikan memanjakan mata ciptaan tuhan .. penginapan dieng tag khawatir .. tip , membawa baju hangat suhu udara yg extream super dingin ..",positive,"[{'label': 'positive', 'score': 0.7858301401138306}]",0.7858301401138306,"['terbiasa', 'dengan', 'polusi', 'udara', 'di', 'ibukota', 'sekali', 'bisa', 'mencoba', 'ke', 'dataran tinggi', 'dieng', 'udaranya', 'sangat', 'sejuk', 'dan', 'dingiinn', 'cocok', 'sekali', 'bagi', 'anda', 'yg', 'ingin', 'berlibur', 'di', 'daerah', 'pedesaan', 'dengan', 'udara', 'segar', 'banyak', 'destinasi', 'wisata', 'yg', 'bisa', 'anda', 'kunjugi', 'disini', 'seperti', 'dieng', 'plateu', 'theater', 'kawah', 'sikidang', 'telaga', 'warna', 'batu', 'ratapan', 'angin', 'puncak', 'sikunir', 'sunrise', 'di', 'puncak', 'sikunir', 'the', 'best', 'golden', 'sunrise', 'yg', 'dsajikan', 'cukup', 'memanjakan', 'mata', 'anda', 'akan', 'ciptaan', 'tuhan', 'banyak', 'penginapan', 'di', 'dieng', 'jadi', 'anda', 'tag', 'perlu', 'khawatir', 'hanya', 'untuk', 'tips', 'saja', 'sebaiknya', 'anda', 'membawa', 'baju', 'hangat', 'disini', 'karena', 'suhu', 'udara', 'yg', 'extream', 'super', 'dingin']",<FreqDist with 72 samples and 94 outcomes>,"['terbiasa', 'polusi', 'udara', 'ibukota', 'mencoba', 'dataran tinggi', 'dieng', 'udaranya', 'sejuk', 'dingiinn', 'cocok', 'berlibur', 'daerah', 'pedesaan', 'udara', 'segar', 'destinasi', 'wisata', 'kunjugi', 'dieng', 'plateu', 'theater', 'kawah', 'sikidang', 'telaga', 'warna', 'batu', 'ratapan', 'angin', 'puncak', 'sikunir', 'sunrise', 'puncak', 'sikunir', 'the', 'best', 'golden', 'sunrise', 'dsajikan', 'memanjakan', 'mata', 'ciptaan', 'tuhan', 'penginapan', 'dieng', 'tag', 'khawatir', 'tips', 'membawa', 'baju', 'hangat', 'suhu', 'udara', 'extream', 'super', 'dingin']","['biasa', 'polusi', 'udara', 'ibukota', 'coba', 'datar tinggi', 'dieng', 'udara', 'sejuk', 'dingiinn', 'cocok', 'libur', 'daerah', 'desa', 'udara', 'segar', 'destinasi', 'wisata', 'kunjugi', 'dieng', 'plateu', 'theater', 'kawah', 'sikidang', 'telaga', 'warna', 'batu', 'ratap', 'angin', 'puncak', 'sikunir', 'sunrise', 'puncak', 'sikunir', 'the', 'best', 'golden', 'sunrise', 'dsajikan', 'manja', 'mata', 'cipta', 'tuhan', 'inap', 'dieng', 'tag', 'khawatir', 'tips', 'bawa', 'baju', 'hangat', 'suhu', 'udara', 'extream', 'super', 'dingin']"
89,1680415691-90,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Aziz B,Sejuknya dan indahnya Dataran Tinggi Dieng,salah satu destinasi wisata yang wajib dikunjungi disamping alamnya yang indah dan menyejukkan di lokasi ini banyak peninggalan sejarah nusantara seperti kawasan candi arjuna candi bima dan candi gatotkaca,"salah destinasi wisata wajib dikunjungi . disamp alamnya indah menyejukkan , lokasi peninggalan sejarah nusantara kawasan candi arjuna , candi bima candi gatotkaca .",negative,"[{'label': 'negative', 'score': 0.9169427752494812}]",0.9169427752494812,"['salah', 'satu', 'destinasi', 'wisata', 'yang', 'wajib', 'dikunjungi', 'disamping', 'alamnya', 'yang', 'indah', 'dan', 'menyejukkan', 'di', 'lokasi', 'ini', 'banyak', 'peninggalan', 'sejarah', 'nusantara', 'seperti', 'kawasan', 'candi', 'arjuna', 'candi', 'bima', 'dan', 'candi', 'gatotkaca']",<FreqDist with 25 samples and 29 outcomes>,"['salah', 'destinasi', 'wisata', 'wajib', 'dikunjungi', 'disamping', 'alamnya', 'indah', 'menyejukkan', 'lokasi', 'peninggalan', 'sejarah', 'nusantara', 'kawasan', 'candi', 'arjuna', 'candi', 'bima', 'candi', 'gatotkaca']","['salah', 'destinasi', 'wisata', 'wajib', 'kunjung', 'samping', 'alam', 'indah', 'sejuk', 'lokasi', 'tinggal', 'sejarah', 'nusantara', 'kawasan', 'candi', 'arjuna', 'candi', 'bima', 'candi', 'gatotkaca']"
90,1680415691-91,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,Ormit,Jejak Nenek Moyang dikaki gunung,sebaiknya kamu kesini tempat yang dingin ini memiliki banyak pilihan transportasi karena ini merupakan lokasi wisata favorit dan terkenal kabut tipis menyelimuti kawasan candi dan dingin yang tak terlalu menggigit setelah melihat candi rasakan kehangatan minuman ramuan ajaib purwaceng,"kesini . dingin , memiliki pilihan transportasi , lokasi wisata favorit terken . kabut tipi menyelimuti kawasan candi dingin menggigit . candi , rasakan kehangatan minuman ramuan ajaib purwaceng .",negative,"[{'label': 'negative', 'score': 0.9546303749084473}]",0.9546303749084472,"['sebaiknya', 'kamu', 'kesini', 'tempat', 'yang', 'dingin', 'ini', 'memiliki', 'banyak', 'pilihan', 'transportasi', 'karena', 'ini', 'merupakan', 'lokasi', 'wisata', 'favorit', 'dan', 'terkenal', 'kabut', 'tipis', 'menyelimuti', 'kawasan', 'candi', 'dan', 'dingin', 'yang', 'tak', 'terlalu', 'menggigit', 'setelah', 'melihat', 'candi', 'rasakan', 'kehangatan', 'minuman', 'ramuan', 'ajaib', 'purwaceng']",<FreqDist with 34 samples and 39 outcomes>,"['kesini', 'dingin', 'memiliki', 'pilihan', 'transportasi', 'lokasi', 'wisata', 'favorit', 'terkenal', 'kabut', 'tipis', 'menyelimuti', 'kawasan', 'candi', 'dingin', 'menggigit', 'candi', 'rasakan', 'kehangatan', 'minuman', 'ramuan', 'ajaib', 'purwaceng']","['kesini', 'dingin', 'milik', 'pilih', 'transportasi', 'lokasi', 'wisata', 'favorit', 'kenal', 'kabut', 'tipis', 'limut', 'kawasan', 'candi', 'dingin', 'gigit', 'candi', 'rasa', 'hangat', 'minum', 'ramu', 'ajaib', 'purwaceng']"
91,1680415691-92,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,tatoillah2015,Dataran tinggi dengan pemandangan yang takjub,berada di wilayah wonosobo dengan dataran tinggi yang menyuguhkan pemandangan yang menakjubkan bangunan candi yang jumlahnya cukup banyak hamparan padang rumput dan danau telaga warna yang memukau,"wilayah wonosobo dataran menyuguhkan pemandangan menakjubkan , bangunan candi , hamparan padang rumput danau telaga warna memukau",negative,"[{'label': 'negative', 'score': 0.9309515357017517}]",0.9309515357017516,"['berada', 'di', 'wilayah', 'wonosobo', 'dengan', 'dataran tinggi', 'yang', 'menyuguhkan', 'pemandangan', 'yang', 'menakjubkan', 'bangunan', 'candi', 'yang', 'jumlahnya', 'cukup', 'banyak', 'hamparan', 'padang', 'rumput', 'dan', 'danau', 'telaga', 'warna', 'yang', 'memukau']",<FreqDist with 23 samples and 26 outcomes>,"['wilayah', 'wonosobo', 'dataran tinggi', 'menyuguhkan', 'pemandangan', 'menakjubkan', 'bangunan', 'candi', 'hamparan', 'padang', 'rumput', 'danau', 'telaga', 'warna', 'memukau']","['wilayah', 'wonosobo', 'datar tinggi', 'suguh', 'pandang', 'takjub', 'bangun', 'candi', 'hampar', 'padang', 'rumput', 'danau', 'telaga', 'warna', 'pukau']"
92,1680415691-93,https://www.tripadvisor.com/ShowUserReviews-g1137819-d3383524-r341870520-Dieng_Plateau-Dieng_Central_Java_Java.html,away_mak,Dinginnya Ekstrim 6 Derajat Celcius,sangat kontradiktif sekali dengan suhu di pulau jawa yang umumnya tropis namun dataran tinggi dieng ini mempunyai suhu derajat celcius bahkan bila di musim kemarau di pagi hari terlihat kristalkristal es di atas dedaunan hal ini karena dataran tinggi dieng merupakan pegunungan vulkanik yang masih aktif di jawa tengah,"kontradiktif suhu pulau jawa tropi , dataran dieng suhu 6 derajat celciu . musim kemarau , pagi kristal-krist es dedaunan . dataran dieng pegunungan vulkanik aktif jawa",negative,"[{'label': 'negative', 'score': 0.9570527076721191}]",0.9570527076721193,"['sangat', 'kontradiktif', 'sekali', 'dengan', 'suhu', 'di', 'pulau', 'jawa', 'yang', 'umumnya', 'tropis', 'namun', 'dataran tinggi', 'dieng', 'ini', 'mempunyai', 'suhu', 'derajat', 'celcius', 'bahkan', 'bila', 'di', 'musim', 'kemarau', 'di', 'pagi', 'hari', 'terlihat', 'kristalkristal', 'es', 'di', 'atas', 'dedaunan', 'hal', 'ini', 'karena', 'dataran tinggi', 'dieng', 'merupakan', 'pegunungan', 'vulkanik', 'yang', 'masih', 'aktif', 'di', 'jawa tengah']",<FreqDist with 37 samples and 46 outcomes>,"['kontradiktif', 'suhu', 'pulau', 'jawa', 'tropis', 'dataran tinggi', 'dieng', 'suhu', 'derajat', 'celcius', 'musim', 'kemarau', 'pagi', 'kristalkristal', 'es', 'dedaunan', 'dataran tinggi', 'dieng', 'pegunungan', 'vulkanik', 'aktif', 'jawa tengah']","['kontradiktif', 'suhu', 'pulau', 'jawa', 'tropis', 'datar tinggi', 'dieng', 'suhu', 'derajat', 'celcius', 'musim', 'kemarau', 'pagi', 'kristalkristal', 'es', 'dedaunan', 'datar tinggi', 'dieng', 'gunung', 'vulkanik', 'aktif', 'jawa tengah']"
